"article_id","title","initials","access_article","access_supp","design","design_ev","design_judg_4_TEXT","design_judg_rat","comments"
"Bakra2018bankx273","Associations Between Sedentary Behaviors and Cognitive Function: Cross-Sectional and Prospective Findings From the UK Biobank ","kd","Yes","Yes","cohort,cross-sectional","We investigated the cross-sectional ... associations between different sedentary behaviors and cognitive function ... in the UK Biobank. ",NA,"""Multiple logistic regression models investigated the prospective associations between the domains of sedentary behavior at baseline and cognitive function at follow-up."". Did not sample based on outcome.",NA
"Batty2016bank7267","Psychological distress, neuroticism, and cause-specific mortality: early prospective evidence from UK Biobank ","kd","Yes","Yes","cohort",NA,NA,"""we tested the possibility that it is the neuroticism trait ... is generating an increased risk of mortality."" Mortality measured at follow-up. Did not sample based on outcome.",NA
"Batty2016bank7267","Psychological distress, neuroticism, and cause-specific mortality: early prospective evidence from UK Biobank","mg","Yes","Yes","cohort","Psychological distress, neuroticism, and cause-specific mortality: early prospective evidence from UK Biobank",NA,NA,NA
"Beasl2016bank0675","Is alcohol consumption related to likelihood of reporting chronic widespread pain in people with stable consumption? Results from UK biobank","kd","Yes","Not present","cross-sectional",NA,NA,""" we wished to test whether we could confirm a previous observation of a “reversed J-shaped” relationship between alcohol consumption and pain reporting,"" both exposure and outcome were measured at same time and reflect current levels",NA
"Beasl2016bank0675","Is alcohol consumption related to likelihood of reporting chronic widespread pain in people with stable consumption? Results from UK biobank","mg","Yes","Not present","cross-sectional",NA,NA,"No evidence of longitudinal or case control design (did not select participants based on CWP status. ",NA
"Benne2018bank0017","Sex differences in macronutrient intake and adherence to dietary recommendations: findings from the UK Biobank ","kd","Yes","Yes","cross-sectional","""Cross-sectional data were used from the UK Biobank""",NA,NA,NA
"Benne2018bank0017","Sex differences in macronutrient intake and adherence to dietary recommendations: findings from the UK Biobank","mg","Yes","Yes","cross-sectional","Design Cross-sectional population-based study.",NA,NA,NA
"Boaky2018antsx102","Tobacco exposure and sleep disturbance in 498 208 UK Biobank participants","mg","Yes","Yes","cross-sectional","This cross-sectional study used data from the UK Biobank: a cohort study of 502 655 participants, of whom 498 208 provided self-reported data on smoking and sleep characteristics.",NA,NA,NA
"Boaky2018antsx102","Tobacco exposure and sleep disturbance in 498 208 UK Biobank participants ","kd","Yes","Yes","cross-sectional","""This cross-sectional study used data from the UK Biobank: """,NA,NA,NA
"Bowma2017ants7157","Central adiposity and the overweight risk paradox in aging: follow-up of 130,473 UK Biobank participants ","kd","Yes","Yes","cohort",NA,NA,"""This study aimed to estimate associations between combined measurements of BMI and waist-to-hip ratio (WHR) with mortality and incident coronary artery disease"". Did not sample based on outcome. Outcomes measured at follow up",NA
"Bowma2017ants7157","Central adiposity and the overweight risk paradox in aging: follow-up of 130,473 UK Biobank participants","mg","Yes","Yes","cohort",NA,NA,"This study followed 130,473 UK Biobank participants aged 60–69 y (baseline 2006–2010) for =8.3 y (n = 2974 deaths). ",NA
"Bradb2017bank1843","Association between physical activity and body fat percentage, with adjustment for BMI: a large cross-sectional analysis of UK Biobank ","kd","Yes","Yes","cross-sectional","""Design A cross-sectional analysis of participants recruited into UK Biobank in 2006–2010.""",NA,NA,NA
"Bradb2017bank1843","Association between physical activity and body fat percentage, with adjustment for BMI: a large cross-sectional analysis of UK Biobank","mg","Yes","Yes","cross-sectional","Design A cross-sectional analysis of participants recruited into UK Biobank in 2006–2010.",NA,NA,NA
"Burgo2018ants99-8","Examining the interaction of fast-food outlet exposure and income on diet and obesity: evidence from 51,361 UK Biobank participants","kd","Yes","Yes","cross-sectional","""Our study has a number of limitations, foremost of which is the cross-sectional, observational study design""",NA,NA,NA
"Burgo2018ants99-8","Examining the interaction of fast-food outlet exposure and income on diet and obesity: evidence from 51,361 UK Biobank participants","mg","Yes","Yes","cross-sectional","We employed an observational, cross-sectional study design.",NA,NA,NA
"Cai2017oach2015","Ambient air pollution, traffic noise and adult asthma prevalence: a BioSHaRE approach","kd","Yes","Yes","cross-sectional","""In this cross-sectional study involving three large European cohorts"" including UK biobank",NA,NA,NA
"Cai2017oach2015","Ambient air pollution, traffic noise and adult asthma prevalence: a BioSHaRE approach","mg","Yes","Yes","cross-sectional","A cross-sectional analysis of 646<U+200A>731 participants aged =20 years was undertaken using DataSHIELD to pool data for individual-level analysis via a “compute to the data” approach.",NA,NA,NA
"Cassi2016etes0038","Cross-sectional study of diet, physical activity, television viewing and sleep duration in 233 110 adults from the UK Biobank; the behavioural phenotype of cardiovascular disease and type 2 diabetes ","kd","Yes","Yes","cross-sectional","""Design Cross-sectional observational study.""",NA,NA,NA
"Cassi2016etes0038","Cross-sectional study of diet, physical activity, television viewing and sleep duration in 233,110 adults from the UK Biobank; the behavioural phenotype of cardiovascular disease and type 2 diabetes","mg","Yes","Yes","cross-sectional","Design Cross-sectional observational study.",NA,NA,NA
"Cassi2017ants7982","The cardio-metabolic impact of taking commonly prescribed analgesic drugs in 133,401 UK Biobank participants","kd","Yes","Yes","cross-sectional","""This cross-sectional analysis of the UK Biobank cohort""",NA,NA,NA
"Cassi2017ants7982","The cardio-metabolic impact of taking commonly prescribed analgesic drugs in 133,401 UK Biobank participants","mg","Yes","Yes","cross-sectional","A cross-sectional analysis was conducted on baseline data from the UK Biobank. ",NA,NA,NA
"Cassi2017bank14-y","Low physical activity, high television viewing and poor sleep duration cluster in overweight and obese adults; a cross-sectional study of 398,984 participants from the UK Biobank","kd","Yes","Yes","cross-sectional","""A cross sectional analysis was conducted on baseline data from the UK Biobank""",NA,NA,NA
"Cassi2017bank14-y","Low physical activity, high television viewing and poor sleep duration cluster in overweight and obese adults; a cross-sectional study of 398,984 participants from the UK Biobank","mg","Yes","Yes","cross-sectional"," a cross-sectional study of 398,984 participants from the UK Biobank",NA,NA,NA
"Cassi2018ants61-8","Accelerometer-derived physical activity in those with cardio-metabolic disease compared to healthy adults: a UK Biobank study of 52,556 participants","mg","Yes","Not present","cohort","Using the largest accelerometer cohort to date, we aimed to investigate whether there is an association between disease status and accelerometer variables after a 5-year follow-up.",NA,NA,NA
"Cassi2018ants61-8","Accelerometer-derived physical activity in those with cardio-metabolic disease compared to healthy adults: a UK Biobank study of 52,556 participants","kd","Yes","Not present","case-control",NA,NA,"investigate whether there is an association between cardio-metabolic disease status and accelerometer variables after a 5-year follow-up.",NA
"Celis2017antsw249","The association between physical activity and risk of mortality is modulated by grip strength and cardiorespiratory fitness: evidence from 498 135 UK-Biobank participants","mg","Yes","Yes","cohort","In this prospective, population-based study, all-cause mortality, and incidence of CVD were the outcomes; CRF, grip strength, and total physical activity were the exposure variables; and socio-demographic factors (age, sex, ethnicity, area socioeconomic deprivation index), smoking status, body mass index (BMI), diagnosis of diabetes, cancer, heart disease (stroke, high blood pressure angina, and heart attack) and longstanding illness were covariates.",NA,NA,NA
"Celis2017antsw249","The association between physical activity and risk of mortality is modulated by grip strength and cardiorespiratory fitness: evidence from 498 135 UK-Biobank participants ","kd","Yes","Yes","cohort",NA,NA,"""In this prospective, population-based study, all-cause mortality, and incidence of CVD were the outcomes; CRF, grip strength, and total physical activity were the exposure variables"". Did not sample based on outcome and used Cox-proportional hazards models.",NA
"Celis2017tudy0921","Associations Between Diabetes and Both Cardiovascular Disease and All-Cause Mortality Are Modified by Grip Strength: Evidence From UK Biobank, a Prospective Population-Based Cohort Study","kd","Yes","Yes","cohort","""We undertook a prospective, general population cohort study by using UK Biobank""",NA,NA,NA
"Celis2017tudy0921","Associations Between Diabetes and Both Cardiovascular Disease and All-Cause Mortality Are Modified by Grip Strength: Evidence From UK Biobank, a Prospective Population-Based Cohort Study","mg","Yes","Yes","cohort","Associations Between Diabetes and Both Cardiovascular Disease and All-Cause Mortality Are Modified by Grip Strength: Evidence From UK Biobank, a Prospective Population-Based Cohort Study",NA,NA,NA
"Celis2017tudy1456","Association between active commuting and incident cardiovascular disease, cancer, and mortality: prospective cohort study","kd","Yes","Yes","cohort",NA,NA,"""we ...investigate the association between different types of active commuting and incident CVD, cancer, and all cause mortality"". Do not sample based on outcome",NA
"Celis2017tudy1456","Association between active commuting and incident cardiovascular disease, cancer, and mortality: prospective cohort study","mg","Yes","Present but not accessible",NA,NA,NA,NA,NA
"Celis2017tudy1456","Association between active commuting and incident cardiovascular disease, cancer, and mortality: prospective cohort study","mg","Yes","Yes","cohort","Design Prospective population based study.",NA,NA,NA
"Celis2018ants1651","Associations of grip strength with cardiovascular, respiratory, and cancer outcomes and all cause mortality: prospective cohort study of half a million UK Biobank participants","kd","Yes","Yes","cohort","""prospective cohort study of half a million UK Biobank participants""",NA,NA,NA
"Celis2018ants1651","Associations of grip strength with cardiovascular, respiratory, and cancer outcomes and all cause mortality: prospective cohort study of half a million UK Biobank participants","mg","Yes","Yes","cohort","Associations of grip strength with cardiovascular, respiratory, and cancer outcomes and all cause mortality: prospective cohort study of half a million UK Biobank participants",NA,NA,NA
"Celis2018antsy134","Associations of Dietary Protein Intake With Fat-Free Mass and Grip Strength: A Cross-Sectional Study in 146,816 UK Biobank Participants","mg","Yes","Yes","cross-sectional","Associations of Dietary Protein Intake With Fat-Free Mass and Grip Strength: A Cross-Sectional Study in 146,816 UK Biobank Participants",NA,NA,NA
"Celis2018antsy134","Associations of Dietary Protein Intake With Fat-Free Mass and Grip Strength: A Cross-Sectional Study in 146,816 UK Biobank Participants","kd","Yes","Yes","cross-sectional","""The cross-sectional aspects of this study did not allow us to demonstrate causality in the observed associations.""",NA,NA,NA
"Celis2018tudy63-1","Associations of discretionary screen time with mortality, cardiovascular disease and cancer are attenuated by strength, fitness and physical activity: findings from the UK Biobank study","kd","Yes","Yes","cohort",NA,NA,"""aim of this study was to determine whether the associations of screen time with cardiovascular disease and all-cause mortality were modified by levels of cardiorespiratory fitness, grip strength or physical activity."". Did not sample based on outcome. Mortality measured at follow up",NA
"Celis2018tudy63-1","Associations of discretionary screen time with mortality, cardiovascular disease and cancer are attenuated by strength, fitness and physical activity: findings from the UK Biobank study","mg","Yes","Yes","cohort","In this prospective population-based study, all-cause mortality, CVD incidence and mortality, and cancer incidence and mortality were the main outcomes. ",NA,NA,NA
"Celis2019lity1795","Walking Pace Is Associated with Lower Risk of All-Cause and Cause-Specific Mortality","kd","Yes","Yes","cohort",NA,NA,"""he aim of this study was to investigate whether usual walking pace is associated with a range of health outcomes"". Outcomes measured at follow up. Did not sample based on outcome",NA
"Celis2019lity1795","Walking Pace Is Associated with Lower Risk of All-Cause and Cause-Specific Mortality","mg","Yes","Yes","cohort",NA,NA,"UK Biobank participants (318,185 [54%] women) age 40 to 69 yr were included. Walking pace and total walking time were self-reported. The outcomes comprised: all-cause mortality as well as incidence and mortality from CVD, respiratory disease and cancer. The associations were investigated using Cox proportional hazard models.",NA
"Chan2016bank.031","Associations with Intraocular Pressure in a Large Cohort: Results from the UK Biobank","mg","Yes","Yes","cross-sectional","Cross-sectional study within the UK Biobank",NA,NA,NA
"Chan2016bank.031","Associations with Intraocular Pressure in a Large Cohort: Results from the UK Biobank","kd","Yes","Yes","cross-sectional","""Cross-sectional study within the UK Biobank""",NA,NA,NA
"Cleut2014bank.007","Cognitive functioning in obstructive lung disease: results from the United Kingdom biobank","mg","Yes","Yes","case-control",NA,NA,"comparing people with Obstructive Lung Disease and people without on exposures",NA
"Cleut2014bank.007","Cognitive Functioning in Obstructive Lung Disease: Results from the United Kingdom Biobank","kd","Yes","Yes","cross-sectional",NA,NA,"""Cognitive functioning was compared between persons with and without"" lung disease at one time point",NA
"Cook2018banky224","The prevalence of co-morbidities and their impact on physical activity in people with inflammatory rheumatic diseases compared with the general population: results from the UK Biobank","mg","Yes","Yes","cross-sectional","The prevalence of co-morbidities and their impact on physical activity in people with inflammatory rheumatic diseases compared with the general population: results from the UK Biobank",NA,NA,NA
"Cook2018banky224","The prevalence of co-morbidities and their impact on physical activity in people with inflammatory rheumatic diseases compared with the general population: results from the UK Biobank ","kd","Yes","Yes","cohort,cross-sectional","DESCRIPTIVE: ""The primary objective of this study was to determine the prevalence and incidence of chronic co-morbidities in people with an inflammatory RMD ... compared with people without an inflammatory RMD in.... the UK (UK Biobank).""",NA,"Did not sampled based on outcome.  ""Our secondary objective was to determine whether prevalent multi-morbidity is associated with physical activity level in people with an inflammatory RMD compared with those without these conditions.""",NA
"Cook2019sign3829","The effect of personalised weight feedback on weight loss and health behaviours: Evidence from a regression discontinuity design","mg","Yes","Yes","cohort","this study focuses in on the effect of the BMI feedback on weight change at follow-up",NA,NA,"Study uses a a regression-discontinuity approach"
"Cook2019sign3829","The effect of personalised weight feedback on weight loss and health behaviours: Evidence from a regression discontinuity design","kd","Yes","Yes","cohort",NA,NA,"""Using a regression-discontinuity approach on a U.K. longitudinal dataset, this research analyses whether personalised weight feedback resulted in individuals losing weight over a period of between 2 and 7 years."" (Abstract) - they look at the effect of BMI feedback on weight change measured in follow up",NA
"Coope2017tudyw054","Bidirectional association between physical activity and muscular strength in older adults: Results from the UK Biobank study","mg","Yes","Yes","cohort,cross-sectional","We used multiple linear regression models to examine the cross-sectional, longitudinal and bidirectional associations between moderate-to-vigorous physical activity (MVPA) and grip strength, adjusting for potential confounding by age, sex, height, weight, health status, education level, smoking status, Townsend deprivation index and retirement status.",NA,NA,NA
"Coope2017tudyw054","Bidirectional association between physical activity and muscular strength in older adults: Results from the UK Biobank study ","kd","Yes","Yes","cohort,cross-sectional","""We examined the cross-sectional association between MVPA and grip strength at baseline""",NA,""" the longitudinal analyses, we demonstrated that baseline grip strength was linearly and positively associated with [moderate-to-vigorous physical activity] MVPA at follow-up, whereas MVPA at baseline was only weakly associated with grip strength at follow-up""",NA
"Culle2015ants.006","Cognitive function and lifetime features of depression and bipolar disorder in a large population sample: Cross-sectional study of 143,828 UK Biobank participants","mg","Yes","Yes","cross-sectional","Cognitive function and lifetime features of depression and bipolar disorder in a large population sample: Cross-sectional study of 143,828 UK Biobank participants",NA,NA,NA
"Culle2015ants.006","Cognitive function and lifetime features of depression and bipolar disorder in a large population sample: Cross-sectional study of 143,828 UK Biobank participants","kd","Yes","Yes","cross-sectional","""Cross-sectional analysis of baseline data from the UK Biobank""",NA,NA,NA
"Culle2017hort2733","The ‘cognitive footprint’ of psychiatric and neurological conditions: cross-sectional study in the UK Biobank cohort","kd","Yes","Yes","cross-sectional","""In this cross-sectional study, we aimed to quantify the prevalence of cognitive impairment in adults with a history of mood disorder... in the UK Biobank cohort.""",NA,NA,"include?"
"Culle2017hort2733","The 'cognitive footprint' of psychiatric and neurological conditions: cross-sectional study in the UK Biobank cohort","mg","Yes","Yes","cross-sectional","Cross-sectional study using UK Biobank data (n = 502 642). Psychiatric and neurological exposure status was ascertained via self-reported diagnoses, hospital records and questionnaires.",NA,NA,NA
"Culle2018bank68-6","Cross-sectional and longitudinal analyses of outdoor air pollution exposure and cognitive function in UK Biobank","mg","Yes","Yes","cohort,cross-sectional","Cross-sectional and longitudinal analyses of outdoor air pollution exposure and cognitive function in UK Biobank",NA,NA,NA
"Culle2018bank68-6","Cross-sectional and longitudinal analyses of outdoor air pollution exposure and cognitive function in UK Biobank","kd","Yes","Yes","cohort,cross-sectional","""cross-sectional associations between air pollutant exposure and cognitive performance attenuated towards the null after adjustment for important confounders.""",NA,"Did not sample based on outcome and conducted what they called ""follow-up analyses"" and ""longitudinal analyses"" of the association between baseline exposure to pollution and cognitive function at baseline and follow-up",NA
"Cumbe2015omes.040","Laser refractive surgery in the UK Biobank study: Frequency, distribution by sociodemographic factors, and general health, happiness, and social participation outcomes","mg","Yes","Not present","cross-sectional","Cross-sectional epidemiological study.",NA,NA,NA
"Cumbe2015omes.040","Laser refractive surgery in the UK Biobank study","kd","Yes","Not present","cross-sectional","""DESIGN: Cross-sectional epidemiological study""",NA,NA,NA
"Cumbe2015tudy9780","Frequency and Distribution of Refractive Error in Adult Life: Methodology and Findings of the UK Biobank Study","kd","Yes","Yes","cross-sectional",""" However the cross-sectional nature of the present study makes it difficult to assess causality""",NA,NA,NA
"Cumbe2015tudy9780","Frequency and Distribution of Refractive Error in Adult Life: Methodology and Findings of the UK Biobank Study","mg","Yes","Yes","cross-sectional",NA,NA,"We report the success of the UK Biobank (UKBB) study in delivering from a generic epidemiological study a high quality cross-sectional dataset on refractive error which is without parallel in scale. ",NA
"Cumbe2016tudy1778","Visual Function, Social Position, and Health and Life Chances: The UK Biobank Study","mg","Yes","Yes","cross-sectional","A cross-sectional epidemiologic study was conducted using UK Biobank data from 6 regional centers in England and Wales.",NA,NA,NA
"Cumbe2016tudy1778","Visual Function, Social Position, and Health and Life Chances","kd","Yes","Yes","cross-sectional","A cross-sectional epidemiologic study was conducted using UK Biobank data from 6 regional centers in England and Wales",NA,NA,NA
"Cummi2016bank53-X","Active commuting and obesity in mid-life: cross-sectional, observational evidence from UK Biobank","mg","Yes","Not present","cross-sectional","Active commuting and obesity in mid-life: cross-sectional, observational evidence from UK Biobank",NA,NA,NA
"Cummi2016bank53-X","Active commuting and obesity in mid-life: cross-sectional, observational evidence from UK Biobank","kd","Yes","Yes","cross-sectional","""METHODS: Cross-sectional, observational data from UK Biobank""",NA,NA,NA
"Dare2015tion3579","Relationship between Smoking and Obesity: A Cross-Sectional Study of 499,504 Middle-Aged Adults in the UK General Population","kd","Yes","Not present","cross-sectional","""A cross-sectional study was conducted using baseline data from UK Biobank""",NA,NA,NA
"Dare2015tion3579","Relationship between smoking and obesity: a cross-sectional study of 499,504 middle-aged adults in the UK general population","mg","Yes","Not present","cross-sectional","Relationship between Smoking and Obesity: A Cross-Sectional Study of 499,504 Middle-Aged Adults in the UK General Population",NA,NA,NA
"Darli2018hort1404","Vitamin D supplement use and associated demographic, dietary and lifestyle factors in 8024 South Asians aged 40-69 years: analysis of the UK Biobank cohort","mg","Yes","Yes","cross-sectional","Design: Cross-sectional analysis of baseline vitamin D supplement use data.",NA,NA,NA
"Darli2018hort1404","Vitamin D supplement use and associated demographic, dietary and lifestyle factors in 8024 South Asians aged 40–69 years: analysis of the UK Biobank cohort","kd","Yes","Yes","cross-sectional","""Design Cross-sectional analysis of baseline vitamin D supplement use data.""",NA,NA,NA
"Davie2018bank79-y","The Causal Effects of Education on Health Outcomes in the UK Biobank","mg","Yes","Yes","cohort",NA,NA,"Follow-up for the linked mortality data started with the first death on 10 May 2006 and ended with the last recorded death on 17 February 2014.",NA
"Davie2018bank79-y","The Causal Effects of Education on Health Outcomes in the UK Biobank","kd","Yes","Yes","other",NA,", regression discontinuity design","""We used a regression discontinuity design to investigate the causal effects of remaining in school. We found consistent evidence that remaining in school causally reduced risk of diabetes and mortality in all specifications.""",NA
"Dawes2014gdom0010","Hearing in middle age: a population snapshot of 40- to 69-year olds in the United Kingdom","mg","Yes","Yes","cross-sectional",NA,NA,"Objectives: To report population-based prevalence of hearing impairment based on speech recognition in noise testing in a large and inclusive sample of U.K. adults aged 40 to 69 years. The present study is the first to report such data. Prevalence of tinnitus and use of hearing aids is also reported.",NA
"Dawes2014gdom0010","Hearing in Middle Age: A Population Snapshot of 40- to 69-Year Olds in the United Kingdom","kd","Yes","Yes","cross-sectional","DESCRIPTIVE ""The present study provides estimates of the prevalence of hearing impairment""; analytical ""Multinomial logistic regression was used to model the effects of multiple characteristics and exposures on hearing difficulties"" all measured at the same time; ",NA,NA,"contains descriptive & analytical cross-sectional analyses"
"Dawes2014loss61-0","Cigarette smoking, passive smoking, alcohol consumption, and hearing loss","mg","Yes","Not present","cross-sectional","The objective of this large population-based cross-sectional study was to evaluate the association between smoking, passive smoking, alcohol consumption, and hearing loss.",NA,NA,NA
"Dawes2014loss61-0","Cigarette smoking, passive smoking, alcohol consumption, and hearing loss","kd","Yes","Not present","cross-sectional","""This study utilized a cross-sectional correlational design""",NA,NA,NA
"Dawes2015hood6590","The Effect of Prenatal and Childhood Development on Hearing, Vision and Cognition in Adulthood","kd","Yes","Not present","cohort,cross-sectional","""The study was observational with cross-sectional and longitudinal measurement""",NA,""" We also examined change in hearing, vision and cognitive function longitudinally over ~4 years as a function of birth weight and adult height. "" Did not sample based on outcome",NA
"Dawes2015hood6590","The Effect of Prenatal and Childhood Development on Hearing, Vision and Cognition in Adulthood","mg","Yes","Not present","cross-sectional","The study was observational with cross-sectional and longitudinal measurement, and it is not possible to establish a causal link between early development factors and adult cognitive and sensory function.",NA,NA,NA
"Dawes2015sion9616","Hearing Loss and Cognition: The Role of Hearing Aids, Social Isolation and Depression","kd","Yes","Not present","cross-sectional","""In cross-sectional modelling in a large sample of UK adults, hearing aid use was associated with better cognition""",NA,NA,NA
"Dawes2015sion9616","Hearing loss and cognition: the role of hearing AIDS, social isolation and depression","mg","Yes","Not present","cross-sectional",NA,NA,"Hearing aid use was associated with better cognition in a large cross-sectional study of UK adults.",NA
"Day2015tudy0031","Season of birth is associated with birth weight, pubertal timing, adult body size and educational attainment: a UK Biobank study","mg","Yes","Not present","cross-sectional",NA,NA,"The exposure is birth season (four) and not the presence of a disease or behaviour. (I don't have a clue what design this is)",NA
"Day2015tudy0031","Season of birth is associated with birth weight, pubertal timing, adult body size and educational attainment: a UK Biobank study","kd","Yes","Not present","cohort","""the UK Biobank study, we aimed to assess the impact of this seasonality on birth weight, age at menarche, adult height and body mass index (BMI)""",NA,NA,NA
"Day2015tudy1208","Puberty timing associated with diabetes, cardiovascular disease and also diverse health outcomes in men and women: the UK Biobank study","mg","Yes","Yes","cross-sectional","The main limitation of our study is the cross-sectional design with reliance on self-reported medical histories and recalled measures of the exposures.",NA,NA,NA
"Day2015tudy1208","Puberty timing associated with diabetes, cardiovascular disease and also diverse health outcomes in men and women: the UK Biobank study","kd","Yes","Yes","cross-sectional","""The main limitation of our study is the cross-sectional design""",NA,NA,NA
"DeMat2016tudy3406","Occupations associated with COPD risk in the large population-based UK Biobank cohort study","kd","Yes","Yes","cross-sectional","""we conducted a cross-sectional analysis to identify the occupations associated with higher risk of COPD nested in the large population-based UK Biobank cohort.""",NA,NA,NA
"DeMat2016tudy3406","Occupations associated with COPD risk in the large population-based UK Biobank cohort study","mg","Yes","Yes","cross-sectional","We performed a cross-sectional analysis to examine the association of COPD with current occupation (four-digit SOC-coded job) using all participants not working in each specific job as the reference group",NA,NA,NA
"Dhalw2018tudy.007","Body mass index and mortality in people with and without diabetes: A UK Biobank study","mg","Yes","Yes","cohort",NA,NA,"We used age as time scale and Cox-proportional hazards model to calculate hazard ratios (HRs) for mortality with 95% confidence intervals (95% CI) within BMI categories in people with and without diabetes adjusting for the potential confounders described above.",NA
"Dhalw2018tudy.007","Body mass index and mortality in people with and without diabetes: A UK Biobank study","kd","Yes","Yes","cohort",NA,NA,"""To investigate the association of body mass index with all cause ... mortality in individuals with and without diabetes"" over time",NA
"Dixon2019hort50-2","The Association Between Adiposity and Inpatient Hospital Costs in the UK Biobank Cohort","mg","Yes","Yes","cohort","Person-years of follow-up ranged from 4.5 to 9 years (mean and median<U+2009>=<U+2009>6.1 years).",NA,NA,NA
"Dixon2019hort50-2","The Association Between Adiposity and Inpatient Hospital Costs in the UK Biobank Cohort","kd","Yes","Yes","other",NA,NA,"EXCLUDE","EXCLUDE THIS PAPER BECAUSE IT LOOKS AT ASSOCIATION BETWEEN ADIPOSITY AND COSTS"
"Doiro2017orts1353","Residential Air Pollution and Associations with Wheeze and Shortness of Breath in Adults: A Combined Analysis of Cross-Sectional Data from Two Large European Cohorts","kd","Yes","Yes","cross-sectional","""the findings from our cross-sectional analysis of data from adult cohorts in the United Kingdom and Netherlands """,NA,NA,NA
